лучшая. смерть всего,7.49,0.72,-1.47,-2,FAIL
параллельное продолжал мне? любом тебе условно законов,5.96,2.25,-3.48,-5,FAIL
узнал объяснишься? ния. ля стал левитировать,6.58,1.54,-3.14,-4,FAIL
надо,5.59,0.38,-0.47,5,SUCCESS
хаосе,8.32,0.42,-0.27,1,FAIL
"сильны. дб говорится счастлива, лучший,",7.35,1.18,-2.5,-5,FAIL
"объяснила помнишь настроение настороже. решила ждать,",6.4,0.96,-3.78,-4,FAIL
"чистилищу, пхпххппхпххп",8.26,0.3,-1.09,-1,FAIL
минуту беспокоишься попробую. пустоту рта,7.22,0.64,-3.09,-5,FAIL
нескольких вырубил порядковую сердце предлагаешь? выше проглотить.,6.26,1.29,-4.31,-5,FAIL
боже смерть ключом,8.09,0.73,-1.38,-3,FAIL
"ли, простому видели такое? вышли",7.37,1.53,-2.15,-5,FAIL
"бесконечное думал удастся почувствовал, вошла справедливо. средняя",6.31,2.19,-3.38,-5,FAIL
"чисел объясняет! плотной, разной",5.21,-0.08,-3.58,-5,FAIL
б,5.52,0.23,-0.62,-5,FAIL
"турник мере, зажигалку?",5.08,0.84,-1.82,-5,FAIL
говорить,8.16,0.22,-0.48,2,SUCCESS
"сигареты. поэтому сказать, волнуйтесь, делаешь? нового поняла",5.93,1.26,-4.48,-4,FAIL
"эй,",6.81,0.05,-0.72,3,SUCCESS
"агонию,",9.03,0.34,-0.33,1,FAIL
попробовал следующую,7.68,0.54,-0.91,3,SUCCESS
кормить недоброжелательно,5.15,0.52,-1.24,3,SUCCESS
"думаешь... удачи, рад гораздо нет? схожи,",5.87,0.6,-4.35,-5,FAIL
"глубокую доказать жизнь академию, хуй",6.53,1.53,-2.38,-3,FAIL
когтей,7.77,-0.26,-0.98,3,SUCCESS
запечатана прими,8.18,0.63,-0.77,3,SUCCESS
"марком произошло. пользоваться, зажглось отказался",6.82,0.94,-2.89,-5,FAIL
"кусок чисел улыбнулась прошлом,",7.67,1.21,-1.68,-5,FAIL
пояснили смущаешься иногда,8.36,0.54,-1.54,-4,FAIL
"лежать че ощущение чего, напуганы, великой чему",5.04,2.41,-3.82,-5,FAIL
"грустной вам, скажи сделать, залог какой-либо",6.89,2.08,-2.49,-1,FAIL
гестии полностью оказался этим,7.78,1.36,-1.51,-2,FAIL
"квартиру, равно, улыбкой. марком к сильны. её?",6.83,1.94,-3.41,-1,FAIL
"выражение арк дышать, сказал,",7.08,0.74,-2.27,-2,FAIL
че небытия. существ 5,4.39,1.34,-2.48,-5,FAIL
"навык человеком одну эмоций, катаклизм талантлив, ли,",6.44,1.58,-3.94,-3,FAIL
оттолкнуто предложением,7.89,0.16,-1.26,5,SUCCESS
"жгучее писал квартиру, ночь, назад принять крови",5.16,0.44,-5.72,-4,FAIL
заключение нитта вред марк кроме окей,5.91,1.76,-3.18,-5,FAIL
"гестия познакомиться, звали",7.97,0.6,-1.52,-5,FAIL
дело... существом. твою,7.74,0.87,-1.79,-3,FAIL
"тому, внезапно чистилище!",7.74,1.14,-1.01,3,SUCCESS
"сказать, уверен, место. того мелкий оружия. показухи",5.66,0.8,-5.09,-5,FAIL
мастер парень щенячьими,7.46,0.7,-1.49,-3,FAIL
капитала,8.95,0.31,-0.36,3,SUCCESS
"сломлен, погрузился ее. комнате повысили",6.33,0.89,-3.08,-5,FAIL
"контролировать запутала,",8.61,0.46,-0.9,-1,FAIL
"очевидно. считаете инструктаж то, больше, говорил, странных",5.81,1.07,-4.74,-4,FAIL
"разрывает заблудших тобой, огромную",6.21,0.83,-2.38,-3,FAIL
"например, шепчет нахмурилась. потом, черно-синими, выдох,",6.63,1.74,-2.92,-3,FAIL
"познакомиться, выпустив направь айрин, та профит существа.",5.53,1.22,-4.74,-4,FAIL
покидать плавающих нашей демонид,7.58,1.2,-1.71,-4,FAIL
целом новой прежде добрались дети,7.04,0.89,-2.88,-5,FAIL
спасти мерзостями...,8.27,0.71,-0.69,1,FAIL
начать нихуя,8.66,0.67,-0.69,5,SUCCESS
марку висело патент почувствовали ответил сражались воздвигла,5.48,1.58,-4.4,-3,FAIL
встретил нас. пушо имеешь,6.21,1.34,-1.87,1,FAIL
поярдок,6.31,0.25,-0.54,4,SUCCESS
наблюдая,8.81,0.22,-0.46,4,SUCCESS
"подожди, глазах. посмотреть ясно виду?",6.84,0.56,-3.26,-5,FAIL
первым навык ты! голову убил никакого отсюда.,6.09,2.05,-3.62,-4,FAIL
отрядов проснулся,8.25,0.82,-0.57,2,SUCCESS
взял ли горело ворота бляяяяяять,4.01,0.9,-4.09,-4,FAIL
"изменения местный, жизни,",7.85,1.11,-1.03,2,SUCCESS
"повредите сильной,",8.6,0.46,-0.9,-1,FAIL
никотином. почувствовали длинная,7.23,0.61,-1.62,-3,FAIL
"катастрофу. задание щитки миров, комнате ошарашена",6.16,0.94,-3.89,-4,FAIL
"лицо, перебарщиваешь седьмая святым.",7.12,0.77,-2.23,-3,FAIL
которое лучшая. ворота комплименты хм идя учитывая,5.32,0.97,-5.1,-4,FAIL
фантома? хотели сильным,6.93,-1.07,-3.35,-2,FAIL
"ощущение,",8.74,0.34,-0.33,1,FAIL
патент шагов,8.51,0.58,-0.79,4,SUCCESS
заполнить встать бездны. щас правда? эй,3.72,0.93,-5.29,-5,FAIL
мб похожую,6.0,0.25,-1.38,4,SUCCESS
"координат понимая, проект вырастет относилась выпустив спросил",4.22,1.71,-5.1,-5,FAIL
"осматривала ноя, порядковую говорите друг видит,",7.08,1.16,-3.35,-4,FAIL
уважительно. любопытством,7.76,0.6,-0.83,-3,FAIL
"протянула занервничал марком, меняется, мерзостей",7.42,1.08,-2.59,-2,FAIL
ты. сигарету ситуация сразу голос обманут,6.12,0.38,-4.47,-5,FAIL
"встать, слышит визуально",6.49,1.04,-1.31,-4,FAIL
"способностей стала лице. энергия, справляться боишься, пидорас",6.74,1.39,-4.0,-5,FAIL
"концентрироваться, 4.5 оказалась сверхчувствительность.",7.8,0.56,-2.31,-5,FAIL
висело ушла. бетоне,6.88,0.57,-1.72,-4,FAIL
"анри, критикуя леса,",6.86,0.73,-1.57,-4,FAIL
надо уз темнее.,4.75,0.86,-1.89,3,SUCCESS
"импульс, школу марк. держите. чистилище удручающий же",6.15,1.1,-4.55,-4,FAIL
"подходит, клинков нет. смешно заключить айрин, раньше?",6.49,1.48,-4.02,-4,FAIL
"долго, мир? земля голосуешь? верно. образовалось воплощением",6.19,1.84,-3.79,1,FAIL
"денежный капитал. парень, демонида, спрашиваете",7.28,1.02,-2.69,1,FAIL
времени,8.75,0.21,-0.47,2,SUCCESS
"когда степени, знаю",3.78,0.78,-2.3,2,SUCCESS
"нечто направь делать, интереса. волей подсознание.",5.15,1.18,-4.11,-5,FAIL
"послушай, милой. терпела",7.86,0.94,-1.2,-5,FAIL
отперли,8.93,0.28,-0.39,4,SUCCESS
фуражку находишься этом уж один.,7.03,0.52,-2.83,-3,FAIL
вопросов. совершать,7.78,0.09,-1.35,-4,FAIL
"дрогнул. душ, хватит нравится конструированное 48-й",6.87,1.33,-3.25,-5,FAIL
"тень, амэ",7.02,0.37,-1.14,4,SUCCESS
